point_time  ,PGEPWR ,SPNETPWR ,COGENKW ,F75406DUP ,FS74409DUP ,F7427DUP ,F7428DUP ,F7431DUP ,F7432DUP ,F7425 ,F7424 ,F7422 ,F7421 ,F1325 ,F71201DUP ,F71101DUP ,F71324_PVEUDUP ,F71202DUP ,F71102DUP ,F71325_PVEUDUP
12/02/2017 01:00:00,   -11.07,     0.00,  2751.27,   961.17, 11358.82,    10.30,     0.00,    83.76,     0.00,     0.00,  2712.48,  1779.55, 13501.29,    30.50,     0.00,   434.90,     0.00,     0.00,     0.00,     0.00
12/02/2017 02:00:00,   -14.30,     0.00,  2720.62,   953.34, 11134.01,    15.61,     0.00,    94.78,     0.00,     0.00,  3120.75,  1763.14, 12662.35,    26.89,     0.00,   429.74,     0.00,     0.00,     0.00,     0.00
12/02/2017 03:00:00,   -12.98,     0.00,  2687.09,   945.20, 10964.40,     7.01,     0.00,    21.49,     0.00,     0.00,   536.90,  1773.32, 14415.15,    23.41,     0.00,   430.61,     0.00,     0.00,     0.00,     0.00
12/02/2017 04:00:00,   -11.45,     0.00,  2655.16,   936.77, 10814.01,    13.89,     0.00,    57.35,     0.00,     0.00,  1779.93,  1784.67, 12549.22,    19.49,     0.00,   359.35,     0.00,     0.00,     0.00,     0.00
12/02/2017 05:00:00,   -14.08,     0.00,  2677.48,   942.20, 10880.28,    10.97,     0.00,    62.45,     0.00,     0.00,  1740.17,  1776.13, 12350.92,    17.32,     0.00,   377.87,     0.00,     0.00,     0.00,     0.00
12/02/2017 06:00:00,   -14.59,     0.00,  2667.11,   940.41, 10769.37,    15.65,     0.00,    30.08,     0.00,     0.00,   704.61,  1795.81, 12634.05,    16.17,     0.00,   343.52,     0.00,     0.00,     0.00,     0.00
12/02/2017 07:00:00,   -14.71,     0.00,  2644.47,   934.88, 10603.20,    15.47,     0.00,    45.73,     0.00,     0.00,  1301.97,  1785.42, 11369.89,    16.33,     0.00,   329.12,     0.00,     0.00,     0.00,     0.00
12/02/2017 08:00:00,   -14.32,     0.00,  2674.22,   940.69, 10337.89,     6.97,     0.00,     0.00,     0.00,     0.00,     0.00,  1787.53, 13555.67,    18.69,     0.00,   296.27,     0.00,     0.00,     0.00,     0.00
12/02/2017 09:00:00,   -13.15,     0.00,  2695.74,   945.70,  9952.28,    18.98,     0.00,     0.00,     0.00,     0.00,     0.00,  1752.18, 12521.15,    24.88,     0.00,   333.33,     0.00,     0.00,     0.00,     0.00
12/02/2017 10:00:00,    -8.81,     0.00,  2766.06,   963.69, 10072.62,     7.06,     0.00,     4.44,     0.00,     0.00,     0.00,  1737.63, 12145.75,    34.31,     0.00,   485.81,     0.00,     0.00,     0.00,     0.00
12/02/2017 11:00:00,    -3.61,     0.00,  2847.45,   983.70,  8035.10,     7.18,     0.00,     2.69,     0.00,     0.00,     0.00,  1650.49, 15271.25,    40.39,     0.00,   425.29,     0.00,     0.00,     0.00,     0.00
12/02/2017 12:00:00,     0.03,     0.00,  2835.60,   983.38, 11332.08,    16.33,     0.00,     7.30,     0.00,     0.00,     0.00,  1521.14, 12024.66,    43.50,     0.00,   450.29,     0.00,     0.00,     0.00,     0.00
12/02/2017 13:00:00,    -2.69,     0.00,  2846.55,   986.50, 11959.99,    10.62,     0.00,     3.37,     0.00,     0.00,     0.00,  1581.29, 13505.19,    45.52,     0.00,   479.17,     0.00,     0.00,     0.00,     0.00
12/02/2017 14:00:00,    -1.78,     0.00,  2845.96,   986.44, 12193.40,    84.85,     0.00,     4.40,     0.00,  1132.83,     0.00,  1557.21, 13031.38,    46.55,     0.00,   383.46,     0.00,     0.00,     0.00,     0.00
12/02/2017 15:00:00,     8.48,     0.00,  2758.76,   964.22, 12060.73,   122.61,     0.00,     3.58,     0.00,  2756.47,     0.00,  1643.53, 12367.20,    46.61,     0.00,   440.47,     0.00,     0.00,     0.00,     0.00
12/02/2017 16:00:00,     6.30,     0.00,  2699.89,   949.24, 11698.21,   103.38,     0.00,     3.58,     0.00,  2361.68,     0.00,  1709.28, 14286.55,    46.11,     0.00,   436.77,     0.00,     0.00,     0.00,     0.00
12/02/2017 17:00:00,     5.04,     0.00,  2722.08,   954.85, 11812.56,   173.25,     0.00,     3.58,     0.00,  4842.36,     0.00,  1776.43, 12603.19,    45.13,     0.00,   439.20,     0.00,     0.00,     0.00,     0.00
12/02/2017 18:00:00,     0.77,     0.00,  2706.54,   950.37, 11744.05,   188.89,     0.00,     2.68,     0.00,  5294.80,     0.00,  1801.23, 12879.15,    43.89,     0.00,   441.76,     0.00,     0.00,     0.00,     0.00
12/02/2017 19:00:00,     1.12,     0.00,  2705.86,   950.95, 11718.17,   170.46,     0.00,     0.00,     0.00,  4758.62,     0.00,  1777.11, 13987.00,    42.51,     0.00,   441.25,     0.00,     0.00,     0.00,     0.00
12/02/2017 20:00:00,     2.70,     0.00,  2709.39,   951.77, 11726.23,   214.55,     0.00,     2.68,     0.00,  6087.05,     0.00,  1799.40, 12822.27,    41.24,     0.00,   442.97,     0.00,     0.00,     0.00,     0.00
12/02/2017 21:00:00,     1.19,     0.00,  2693.81,   947.75, 11560.26,   220.83,     0.00,     3.57,     0.00,  6357.75,     0.00,  1822.44, 12539.15,    40.18,     0.00,   443.43,     0.00,     0.00,     0.00,     0.00
12/02/2017 22:00:00,     0.46,     0.00,  2668.75,   941.84, 11554.26,   181.77,     0.00,     2.68,     0.00,  5082.16,     0.00,  1822.90, 13950.28,    37.42,     0.00,   442.08,     0.00,     0.00,     0.00,     0.00
12/02/2017 23:00:00,    -0.54,     0.00,  2622.90,   929.66, 11384.54,   185.74,     0.00,     2.69,     0.00,  5382.88,     0.00,  1825.36, 13471.64,    35.17,     0.00,   425.50,     0.00,     0.00,     0.00,     0.00
12/03/2017 00:00:00,     2.50,     0.00,  2607.32,   925.34, 11195.57,   191.45,     0.00,     4.23,     0.00,  5475.63,     0.00,  1821.47, 13295.35,    33.05,     0.00,   416.78,     0.00,     0.00,     0.00,     0.00
12/03/2017 01:00:00,     1.36,     0.00,  2571.37,   916.75, 10846.18,   177.22,     0.00,     2.69,     0.00,  5009.63,     0.00,  1839.06, 13445.03,    29.96,     0.00,   393.85,     0.00,     0.00,     0.00,     0.00
12/03/2017 02:00:00,    -1.62,     0.00,  2550.74,   911.52, 10738.19,   116.69,     0.00,     2.68,     0.00,  2803.09,     0.00,  1823.58, 14889.43,    26.67,     0.00,   365.09,     0.00,     0.00,     0.00,     0.00
12/03/2017 03:00:00,    -2.38,     0.00,  2505.63,   899.10, 10506.25,   182.50,     0.00,     2.68,     0.00,  5234.82,     0.00,  1835.15, 11951.08,    23.00,     0.00,   343.56,     0.00,     0.00,     0.00,     0.00
12/03/2017 04:00:00,    -2.16,     0.00,  2528.52,   904.85, 10538.77,   182.96,     0.00,     2.68,     0.00,  5174.44,     0.00,  1845.88, 11458.51,    19.63,     0.00,   409.32,     0.00,     0.00,     0.00,     0.00
12/03/2017 05:00:00,    -4.97,     0.00,  2544.69,   909.24, 10539.43,    90.28,     0.00,     6.27,     0.00,  1978.33,     0.00,  1827.18, 13876.95,    17.30,     0.00,   344.18,     0.00,     0.00,     0.00,     0.00
12/03/2017 06:00:00,    -4.64,     0.00,  2509.61,   900.23, 10327.96,   137.06,     0.00,     2.69,     0.00,  3547.53,     0.00,  1831.26, 11445.16,    15.78,     0.00,   292.39,     0.00,     0.00,     0.00,     0.00
12/03/2017 07:00:00,     6.47,     0.00,  2522.06,   902.29, 10327.69,   124.84,     0.00,     4.50,     0.00,  3117.23,     0.00,  1832.00, 11066.88,    15.87,     0.00,   430.87,     0.00,     0.00,     0.00,     0.00
12/03/2017 08:00:00,    31.03,     0.00,  2674.23,   941.28, 10684.66,     0.00,     0.00,     3.60,     0.00,     0.00,     0.00,  1814.62, 13695.38,    17.74,     0.00,   325.73,     0.00,     0.00,     0.00,     0.00
12/03/2017 09:00:00,    34.40,     0.00,  2472.57,   891.11, 10192.58,   104.59,     0.00,     4.48,     0.00,  2225.39,     0.00,  1814.30, 11325.90,    22.98,     0.00,   272.64,     0.00,     0.00,     0.00,     0.00
12/03/2017 10:00:00,    35.69,     0.00,  2602.16,   923.95, 10920.30,    72.19,     0.00,     4.39,     0.00,  1551.32,     0.00,  1801.26, 11036.92,    31.66,     0.00,   360.36,     0.00,     0.00,     0.00,     0.00
12/03/2017 11:00:00,    39.06,     0.00,  2776.10,   965.38, 10327.39,     0.85,     0.00,     2.71,     0.00,     2.08,     0.00,  1783.34, 14055.22,    39.66,     0.00,   321.40,     0.00,     0.00,     0.00,     0.00
12/03/2017 12:00:00,    11.21,     0.00,  2723.19,   954.63, 11576.92,    88.44,     0.00,     2.98,     0.00,  1539.28,     0.00,  1781.71, 11360.43,    42.95,     0.00,   311.76,     0.00,     0.00,     0.00,     0.00
12/03/2017 13:00:00,    12.49,     0.00,  2674.71,   942.01, 11404.03,   135.31,     0.00,     3.58,     0.00,  3454.93,     0.00,  1785.90, 10205.38,    45.04,     0.00,   334.06,     0.00,     0.00,     0.00,     0.00
